report_year	source_file	metric_canon	metric_raw	dim_type	period	data_years	scope	pages	note
2015	2015.pdf	Total deal count	INVESTMENTS BY YEAR (# Rounds)	none	FY	2010-2015	all	5	
2015	2015.pdf	Total investment amount	INVESTMENTS BY YEAR (Amount Raised)	none	FY	2010-2015	all	5	
2015	2015.pdf	Investment by stage	INVESTMENTS BY YEAR / INVESTMENT DISTRIBUTION BY ROUND TYPE	stage	FY	2010-2015	all	3,5	p3 tek yıl 2015 dağılım, p5 yıl×stage
2015	2015.pdf	VC vs PE	VENTURE CAPITAL VS PRIVATE EQUITY	investor_type	FY	2010-2015	all	6	sadece angel+VC sayılıyor; minority/PE ayrı
2015	2015.pdf	Round size distribution	NEED FOR MORE SERIES B AND MEGA ROUNDS	deal_size	FY	2015	all	7	$10K-$100K … $2.5M+ kovaları
2015	2015.pdf	Monthly activity	MONTHLY INVESTMENT ACTIVITIES	month	FY	2015	all	4	
2016	2016.pdf	Total investment amount	2012-2016 FUNDING ACTIVITIES ($ INVESTED)	none	FY	2012-2016	all	4	
2016	2016.pdf	Total deal count	2012-2016 FUNDING ACTIVITIES (# ROUNDS)	none	FY	2012-2016	all	5	
2016	2016.pdf	Investment by stage	2012-2016 FUNDING ACTIVITIES ($ INVESTED / # ROUNDS)	stage	FY	2012-2016	all	4,5	stage: Pre-Seed…Series D
2016	2016.pdf	Median round size	MEDIAN ROUND SIZES ($)	stage	FY	2012-2016	all	6	stage kırılımı
2016	2016.pdf	Median pre-money valuation	MEDIAN PRE-MONEY VALUATIONS ($)	stage	FY	2012-2016	all	7	stage kırılımı
2016	2016.pdf	Investment by vertical	FUNDING BY VERTICAL (Money Raised / # Rounds)	vertical	FY	2016	all	8	FLAG: başlık 2012-2016 der, tablo tek-yıl 2016 gibi; doğrula. Vertical'lar mutually exclusive değil
2016	2016.pdf	Country comparison	COMPARISON OF TURKEY WITH OTHER COUNTRIES	country	FY	2016	all	9	per-capita, GDP oranı; kaynak Crunchbase/TiA
2017	2017.pdf	Total investment amount	Early stage investments … (Melek&VC + GE&PE stacked)	none	FY	2010-2017	all	5	erken aşama odak; segment split var
2017	2017.pdf	Total deal count	# Rounds (line, 11…167)	none	FY	2010-2017	all	5	
2017	2017.pdf	Investment by stage	In 2017 there are investments in all stages (Seed/Series A/B/C, $)	stage	FY	2010-2017	all	7	amount; convertible hariç
